HGNC symbol	MIM morbid accession
GNG7	
OR6R2P	
LINC01182	
LHCGR	238320
LHCGR	176410
	
	
LINC02575	
	
DNAJA1P5	
	
	
ACTRT1	
OLFM3	
HLA-Z	
	
	
NARS	
ZFP90	
	
	
	
PSMD4P1	
	
	
PIK3R6	
ELOCP28	
CERKL	608380
	
KDM6A	300867
KDM6A	147920
LINC02406	
	
NUDT22	
	
	
	
	
LINC01720	
	
VIRMA	
TEX11	309120
CHL1-AS1	
MTCYBP42	
CHL1-AS2	
	
HNRNPA1P46	
	
EPPIN	
	
NUP210P1	
	
	
	
CCL5	
C6orf58	
SEMA3C	
PPP1R18	
NOD2	617321
NOD2	607507
NOD2	266600
NOD2	186580
	
CHL1	
ATP8A2P3	
TRBV20-1	
PRUNEP1	
TRBV21-1	
TRBV22-1	
	
	
	
TRBV23-1	
	
MYBPC1	
TRBV24-1	
MRPS18B	
MTRNR2L6	
GSDMD	
	
HSPD1P21	
COTL1	
WFDC6	
LMO4	
PPM1L	
SPART-AS1	
FERMT3	612840
GOLGA8F	
PSMD12P	
FRY-AS1	
EPPIN-WFDC6	
LINC01680	
	
TACSTD2	204870
	
	
	
	
	
	
	
	
GP9	231200
VN1R64P	
LAPTM4BP2	
	
LINC02190	
RPAP1	
STON1	
MICF	
	
VN1R65P	
TRBV25-1	
CYLD	
	
	
	
MMP16	
PPP1R10	
HLA-H	
TRBVA	
AK9	
KCNJ3	
CCDC115	616828
HCG4P7	
TRBV26	
NAT8	
	
	
	
FRG2KP	
SRGAP2B	
	
PEMT	
GOLGA2P11	
TOMM7	
	
TRBVB	
LINC02570	
	
MTF1	
GABPAP	
MLF2	
	
TMPOP1	
TRBV27	
E2F4P1	
KIF6	
	
MIR130B	
CXCL12	609423
SDCBPP3	
TUBBP6	
YPEL1	
	
RAB43	
	
	
LAMTOR3	
RPS2P55	
	
E2F2	
CLIC4P3	
	
KREMEN2	
PPIAP17	
LINC01658	
ALMS1P1	
ZDHHC4P1	
	
RPL14P1	
	
EPSTI1	
	
	
	
	
	
LINC02042	
	
LINC01839	
	
	
	
LINC02557	
NAT8B	
SMPX	300066
PCAT14	
	
	
LDHAL6CP	
	
HMGN1P26	
LINC01632	
	
	
	
	
	
	
	
TRIM10	
IGLL1	613500
NHLH1	
	
	
LINC02054	
	
NRG3	
FAM118A	
	
	
NPM1P28	
CD200R1L	
	
SMARCE1P3	
NBDY	
KRT8P37	
LILRP2	
BTF3P14	
	
MSRB1	
TRPT1	
	
	
CASC23	
	
GPX1	614164
CASC6	
CHCHD3P1	
	
	
	
	
	
MTATP6P25	
LILRP1	
	
C2orf66	
DOK2	
BCL7A	
SPIN3	
	
MTND4LP19	
SLC38A2	
MTCO1P56	
	
MTURN	
ADGRE5	
TSPEAR	614861
KIR3DL2	
SUCLA2P1	
RSL24D1P5	
ISY1	
ARIH2OS	
RANP1	
	
MPIG6B	617441
LINC00641	
BMS1P8	
HSD17B8	
DALRD3	
	
SPAG6	
	
TNFRSF14-AS1	
LINC00456	
RXRG	
PADI1	
SNX1	
	
	
COA5	616500
COA5	220110
SMARCA5-AS1	
	
	
SMARCA5	
KIF1B	256700
KIF1B	171300
KIF1B	118210
DPH3	
TNFRSF14	
	
	
	
AVPR1A	
SLC50A1	
FKBP9P1	
	
HLA-T	
SNHG26	
	
C6orf47	
	
HNRNPA1P69	
C6orf47-AS1	
MBNL2	
ABCB10P3	
	
NRG3-AS1	
	
	
	
CLEC1A	
	
	
	
	
KRTAP10-9	
MICU2	
	
C6orf203	
KIF16B	
	
	
KRTAP10-5	
	
SIM2	
